"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4178","Full scan results for page","Chromium","Thu Mar 26 15:14:02 UTC 2026","passed","Thu Mar 26 15:14:07 UTC 2026","Accessability tests > Accessability tests - without fixture","accessibility/accessibility.spec.ts","",""
"","3064","Inventory - product describe","Chromium","Thu Mar 26 15:14:07 UTC 2026","passed","Thu Mar 26 15:14:10 UTC 2026","Accessability tests > Gunning fog index","accessibility/accessibility.spec.ts","",""
"","3190","Adding by button ""Add to cart"" - count","Chromium","Thu Mar 26 15:14:51 UTC 2026","passed","Thu Mar 26 15:14:54 UTC 2026","Inventory > Add products - different methods","e2e/inventory.spec.ts","",""
"This test attempts to log into the website using a login and a password. Authentication is saved to the storage state.","747","Log in to standard user account","setup","Thu Mar 26 15:14:00 UTC 2026","passed","Thu Mar 26 15:14:01 UTC 2026","","e2e/setup/login.setup.ts","",""
"","1092","Simple login to page - Run 1","Chromium","Thu Mar 26 15:15:04 UTC 2026","passed","Thu Mar 26 15:15:06 UTC 2026","Load tests","performance/load.spec.ts","",""
"","3150","Adding by button ""Add to cart"" - all","Chromium","Thu Mar 26 15:14:54 UTC 2026","passed","Thu Mar 26 15:14:57 UTC 2026","Inventory with errors","e2e/inventory.spec.ts","",""
"","3015","Remove product from basket","Chromium","Thu Mar 26 15:14:14 UTC 2026","passed","Thu Mar 26 15:14:17 UTC 2026","Cart > Function with product","e2e/cart.spec.ts","",""
"","3511","Checkout process with Success","Chromium","Thu Mar 26 15:14:25 UTC 2026","passed","Thu Mar 26 15:14:28 UTC 2026","Checkout > Checkout process","e2e/checkout.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","536","Missing credentials","Chromium","Thu Mar 26 15:15:00 UTC 2026","passed","Thu Mar 26 15:15:01 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"","2992","Empty Last Name field","Chromium","Thu Mar 26 15:14:19 UTC 2026","passed","Thu Mar 26 15:14:22 UTC 2026","Checkout > Empty fields - error validation","e2e/checkout.spec.ts","",""
"","1166","Simple login to page - Run 3","Chromium","Thu Mar 26 15:15:06 UTC 2026","passed","Thu Mar 26 15:15:07 UTC 2026","Load tests","performance/load.spec.ts","",""
"","3079","Add product to basket","Chromium","Thu Mar 26 15:14:11 UTC 2026","passed","Thu Mar 26 15:14:15 UTC 2026","Cart > Function with product","e2e/cart.spec.ts","",""
"","859","ARIA for Cart page","Chromium","Thu Mar 26 15:14:10 UTC 2026","passed","Thu Mar 26 15:14:11 UTC 2026","ARIA Snapshots","accessibility/aria.spec.ts","",""
"","3216","Adding by Title - all","Chromium","Thu Mar 26 15:14:48 UTC 2026","passed","Thu Mar 26 15:14:51 UTC 2026","Inventory > Add products - different methods","e2e/inventory.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","668","Visual user","Chromium","Thu Mar 26 15:15:00 UTC 2026","passed","Thu Mar 26 15:15:00 UTC 2026","Login > Login to specific user","e2e/login.spec.ts","",""
"","3081","Wrong image link for product","Chromium","Thu Mar 26 15:14:55 UTC 2026","passed","Thu Mar 26 15:14:58 UTC 2026","Inventory with errors","e2e/inventory.spec.ts","",""
"","3068","Empty Postal Code field","Chromium","Thu Mar 26 15:14:21 UTC 2026","passed","Thu Mar 26 15:14:24 UTC 2026","Checkout > Empty fields - error validation","e2e/checkout.spec.ts","",""
