"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Application","Footer","","0","0","4","0","0"
"","","","0","0","1","25","0"
"Application","Checkout","","0","0","9","0","0"
"Application","Inventory","","0","0","13","0","0"
"Application","Authentication","Login","0","0","54","0","0"
"Application","Accessibility","","0","0","3","0","0"
"Application","Cart","","0","0","4","0","0"
"Application","Accessibility","Gunning fog index","0","0","1","0","0"
