"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","599","Problem user","Chromium","Thu Mar 26 15:07:18 UTC 2026","passed","Thu Mar 26 15:07:19 UTC 2026","Login > Login to specific user","e2e/login.spec.ts","",""
"","3731","Violations results for page","Chromium","Thu Mar 26 15:05:26 UTC 2026","passed","Thu Mar 26 15:05:29 UTC 2026","Accessability tests > Accessability tests - fixture","accessibility/accessibility.spec.ts","",""
"","6128","ARIA for Inventory page","Chromium","Thu Mar 26 15:05:44 UTC 2026","failed","Thu Mar 26 15:05:50 UTC 2026","ARIA Snapshots","accessibility/aria.spec.ts","",""
"","3050","Adding by button ""Add to cart"" - count","Chromium","Thu Mar 26 15:06:46 UTC 2026","passed","Thu Mar 26 15:06:49 UTC 2026","Inventory > Add products - different methods","e2e/inventory.spec.ts","",""
"","3429","Continue process from Checkout","Chromium","Thu Mar 26 15:06:04 UTC 2026","passed","Thu Mar 26 15:06:07 UTC 2026","Checkout > Checkout process","e2e/checkout.spec.ts","",""
"","933","Simple login to page - Run 3","Chromium","Thu Mar 26 15:07:26 UTC 2026","passed","Thu Mar 26 15:07:27 UTC 2026","Load tests","performance/load.spec.ts","",""
"","3251","Visual effect for checkout","Chromium","Thu Mar 26 15:07:28 UTC 2026","passed","Thu Mar 26 15:07:31 UTC 2026","Pages with errors","ui/ui.spec.ts","",""
"","3154","Empty Postal Code field","Chromium","Thu Mar 26 15:06:03 UTC 2026","passed","Thu Mar 26 15:06:07 UTC 2026","Checkout > Empty fields - error validation","e2e/checkout.spec.ts","",""
"","950","Simple login to page - Run 4","Chromium","Thu Mar 26 15:07:27 UTC 2026","passed","Thu Mar 26 15:07:28 UTC 2026","Load tests","performance/load.spec.ts","",""
"","3095","Visual effect for inventory","Chromium","Thu Mar 26 15:07:31 UTC 2026","passed","Thu Mar 26 15:07:34 UTC 2026","Pages with errors","ui/ui.spec.ts","",""
"","2904","Validation Inventory page","Chromium","Thu Mar 26 15:06:31 UTC 2026","passed","Thu Mar 26 15:06:34 UTC 2026","Inventory","e2e/inventory.spec.ts","",""
"","3336","Adding by Title - all","Chromium","Thu Mar 26 15:06:42 UTC 2026","passed","Thu Mar 26 15:06:45 UTC 2026","Inventory > Add products - different methods","e2e/inventory.spec.ts","",""
"","8560","Open ""Twitter"" page","Chromium","Thu Mar 26 15:06:13 UTC 2026","passed","Thu Mar 26 15:06:22 UTC 2026","Footer > Open the footer links","e2e/footer.spec.ts","",""
"","3131","Visual effect for single product view","Chromium","Thu Mar 26 15:07:31 UTC 2026","passed","Thu Mar 26 15:07:34 UTC 2026","Pages with errors","ui/ui.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","617","Incorrect username","Chromium","Thu Mar 26 15:07:25 UTC 2026","passed","Thu Mar 26 15:07:25 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"","4407","Open ""LinkedIn"" page","Chromium","Thu Mar 26 15:06:26 UTC 2026","passed","Thu Mar 26 15:06:31 UTC 2026","Footer > Open the footer links","e2e/footer.spec.ts","",""
"","919","Simple login to page - Run 1","Chromium","Thu Mar 26 15:07:25 UTC 2026","passed","Thu Mar 26 15:07:26 UTC 2026","Load tests","performance/load.spec.ts","",""
"","2862","Sort by Price (low to high)","Chromium","Thu Mar 26 15:06:39 UTC 2026","passed","Thu Mar 26 15:06:42 UTC 2026","Inventory > Products sorting","e2e/inventory.spec.ts","",""
"","3019","Inventory - product describe","Chromium","Thu Mar 26 15:05:26 UTC 2026","passed","Thu Mar 26 15:05:29 UTC 2026","Accessability tests > Gunning fog index","accessibility/accessibility.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","717","Incorrect password","Chromium","Thu Mar 26 15:07:25 UTC 2026","passed","Thu Mar 26 15:07:26 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"","3001","Validation Checkout page","Chromium","Thu Mar 26 15:05:57 UTC 2026","passed","Thu Mar 26 15:06:00 UTC 2026","Checkout","e2e/checkout.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","637","Incorrect credentials","Chromium","Thu Mar 26 15:07:24 UTC 2026","passed","Thu Mar 26 15:07:25 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"","3343","Validation Cart page","Chromium","Thu Mar 26 15:05:53 UTC 2026","passed","Thu Mar 26 15:05:56 UTC 2026","Cart","e2e/cart.spec.ts","",""
"","3909","Full scan results for page","Chromium","Thu Mar 26 15:05:22 UTC 2026","passed","Thu Mar 26 15:05:25 UTC 2026","Accessability tests > Accessability tests - fixture","accessibility/accessibility.spec.ts","",""
"","3240","Add product to basket","Chromium","Thu Mar 26 15:05:53 UTC 2026","passed","Thu Mar 26 15:05:56 UTC 2026","Cart > Function with product","e2e/cart.spec.ts","",""
"","923","ARIA for Checkout page","Chromium","Thu Mar 26 15:05:52 UTC 2026","passed","Thu Mar 26 15:05:53 UTC 2026","ARIA Snapshots","accessibility/aria.spec.ts","",""
"","2853","Sort by Name (Z to A)","Chromium","Thu Mar 26 15:06:36 UTC 2026","passed","Thu Mar 26 15:06:39 UTC 2026","Inventory > Products sorting","e2e/inventory.spec.ts","",""
"This test attempts to log into the website using a login and a password. Authentication is saved to the storage state.","829","Log in to standard user account","setup","Thu Mar 26 15:05:16 UTC 2026","passed","Thu Mar 26 15:05:17 UTC 2026","","e2e/setup/login.setup.ts","",""
"","898","Simple login to page - Run 5","Chromium","Thu Mar 26 15:07:27 UTC 2026","passed","Thu Mar 26 15:07:28 UTC 2026","Load tests","performance/load.spec.ts","",""
"","2798","Sort by Name (A to Z)","Chromium","Thu Mar 26 15:06:34 UTC 2026","passed","Thu Mar 26 15:06:36 UTC 2026","Inventory > Products sorting","e2e/inventory.spec.ts","",""
"","2991","Adding by Title - one","Chromium","Thu Mar 26 15:06:45 UTC 2026","passed","Thu Mar 26 15:06:48 UTC 2026","Inventory > Add products - different methods","e2e/inventory.spec.ts","",""
"","916","Simple login to page - Run 2","Chromium","Thu Mar 26 15:07:26 UTC 2026","passed","Thu Mar 26 15:07:27 UTC 2026","Load tests","performance/load.spec.ts","",""
"","3110","Sort by Price (high to low)","Chromium","Thu Mar 26 15:06:42 UTC 2026","passed","Thu Mar 26 15:06:45 UTC 2026","Inventory > Products sorting","e2e/inventory.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","658","Locked user","Chromium","Thu Mar 26 15:07:18 UTC 2026","passed","Thu Mar 26 15:07:18 UTC 2026","Login > Login to specific user","e2e/login.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","498","Missing credentials","Chromium","Thu Mar 26 15:07:22 UTC 2026","passed","Thu Mar 26 15:07:23 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"","3169","Visual effect for cart","Chromium","Thu Mar 26 15:07:28 UTC 2026","passed","Thu Mar 26 15:07:31 UTC 2026","Pages with errors","ui/ui.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","6214","Performance user","Chromium","Thu Mar 26 15:07:19 UTC 2026","passed","Thu Mar 26 15:07:25 UTC 2026","Login > Login to specific user","e2e/login.spec.ts","",""
"","6132","ARIA for Cart page","Chromium","Thu Mar 26 15:05:45 UTC 2026","failed","Thu Mar 26 15:05:51 UTC 2026","ARIA Snapshots","accessibility/aria.spec.ts","",""
"","2970","Adding by button ""Add to cart"" - all","Chromium","Thu Mar 26 15:06:49 UTC 2026","passed","Thu Mar 26 15:06:52 UTC 2026","Inventory with errors","e2e/inventory.spec.ts","",""
"","3418","Checkout process with Cancel","Chromium","Thu Mar 26 15:06:07 UTC 2026","passed","Thu Mar 26 15:06:10 UTC 2026","Checkout > Checkout process","e2e/checkout.spec.ts","",""
"","8175","Single product view","Chromium","Thu Mar 26 15:07:07 UTC 2026","failed","Thu Mar 26 15:07:15 UTC 2026","Inventory","e2e/inventory.spec.ts","",""
"","3130","Empty Fist Name field","Chromium","Thu Mar 26 15:06:00 UTC 2026","passed","Thu Mar 26 15:06:03 UTC 2026","Checkout > Empty fields - error validation","e2e/checkout.spec.ts","",""
"","3620","Checkout process with Success","Chromium","Thu Mar 26 15:06:07 UTC 2026","passed","Thu Mar 26 15:06:11 UTC 2026","Checkout > Checkout process","e2e/checkout.spec.ts","",""
"","4146","Full scan results for page","Chromium","Thu Mar 26 15:05:22 UTC 2026","passed","Thu Mar 26 15:05:26 UTC 2026","Accessability tests > Accessability tests - without fixture","accessibility/accessibility.spec.ts","",""
"","8340","Wrong image link for product","Chromium","Thu Mar 26 15:07:11 UTC 2026","failed","Thu Mar 26 15:07:19 UTC 2026","Inventory with errors","e2e/inventory.spec.ts","",""
"","3147","Remove product from basket","Chromium","Thu Mar 26 15:05:56 UTC 2026","passed","Thu Mar 26 15:05:59 UTC 2026","Cart > Function with product","e2e/cart.spec.ts","",""
"","3245","Empty Last Name field","Chromium","Thu Mar 26 15:06:00 UTC 2026","passed","Thu Mar 26 15:06:04 UTC 2026","Checkout > Empty fields - error validation","e2e/checkout.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","514","Missing username","Chromium","Thu Mar 26 15:07:23 UTC 2026","passed","Thu Mar 26 15:07:23 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","739","Error user","Chromium","Thu Mar 26 15:07:21 UTC 2026","passed","Thu Mar 26 15:07:22 UTC 2026","Login > Login to specific user","e2e/login.spec.ts","",""
"","4288","Open ""Facebook"" page","Chromium","Thu Mar 26 15:06:22 UTC 2026","passed","Thu Mar 26 15:06:26 UTC 2026","Footer > Open the footer links","e2e/footer.spec.ts","",""
"","3314","Checkout process with payment verification","Chromium","Thu Mar 26 15:06:10 UTC 2026","passed","Thu Mar 26 15:06:13 UTC 2026","Checkout > Checkout process","e2e/checkout.spec.ts","",""
"","8375","Check footer visibility","Chromium","Thu Mar 26 15:06:32 UTC 2026","failed","Thu Mar 26 15:06:40 UTC 2026","Footer","e2e/footer.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","788","Standard user","Chromium","Thu Mar 26 15:07:17 UTC 2026","passed","Thu Mar 26 15:07:17 UTC 2026","Login > Login to specific user","e2e/login.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","676","Visual user","Chromium","Thu Mar 26 15:07:22 UTC 2026","passed","Thu Mar 26 15:07:22 UTC 2026","Login > Login to specific user","e2e/login.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","537","Missing password","Chromium","Thu Mar 26 15:07:23 UTC 2026","passed","Thu Mar 26 15:07:24 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
