"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3044","Sort by Price (low to high)","Chromium","Tue Mar 17 17:56:08 UTC 2026","passed","Tue Mar 17 17:56:11 UTC 2026","Inventory > Products sorting","e2e/inventory.spec.ts","",""
"","2921","Validation Inventory page","Chromium","Tue Mar 17 17:55:59 UTC 2026","passed","Tue Mar 17 17:56:02 UTC 2026","Inventory","e2e/inventory.spec.ts","",""
"","5357","Adding by button ""Add to cart"" - count","Chromium","Tue Mar 17 17:56:15 UTC 2026","passed","Tue Mar 17 17:56:20 UTC 2026","Inventory > Add products - different methods","e2e/inventory.spec.ts","",""
"","3257","Visual effect for single product view","Chromium","Tue Mar 17 17:57:03 UTC 2026","passed","Tue Mar 17 17:57:06 UTC 2026","Pages with errors","ui/ui.spec.ts","",""
"","3393","Adding by Title - all","Chromium","Tue Mar 17 17:56:11 UTC 2026","passed","Tue Mar 17 17:56:14 UTC 2026","Inventory > Add products - different methods","e2e/inventory.spec.ts","",""
"","3211","Validation Cart page","Chromium","Tue Mar 17 17:55:21 UTC 2026","passed","Tue Mar 17 17:55:24 UTC 2026","Cart","e2e/cart.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","757","Incorrect password","Chromium","Tue Mar 17 17:56:56 UTC 2026","passed","Tue Mar 17 17:56:57 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"","3375","Checkout process with payment verification","Chromium","Tue Mar 17 17:55:38 UTC 2026","passed","Tue Mar 17 17:55:41 UTC 2026","Checkout > Checkout process","e2e/checkout.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","787","Missing credentials","Chromium","Tue Mar 17 17:56:54 UTC 2026","passed","Tue Mar 17 17:56:55 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"","3430","Sort by Name (A to Z)","Chromium","Tue Mar 17 17:56:02 UTC 2026","passed","Tue Mar 17 17:56:05 UTC 2026","Inventory > Products sorting","e2e/inventory.spec.ts","",""
"","3235","Adding by button ""Add to cart"" - all","Chromium","Tue Mar 17 17:56:20 UTC 2026","passed","Tue Mar 17 17:56:24 UTC 2026","Inventory with errors","e2e/inventory.spec.ts","",""
"","2908","Sort by Name (Z to A)","Chromium","Tue Mar 17 17:56:05 UTC 2026","passed","Tue Mar 17 17:56:08 UTC 2026","Inventory > Products sorting","e2e/inventory.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","685","Problem user","Chromium","Tue Mar 17 17:56:47 UTC 2026","passed","Tue Mar 17 17:56:48 UTC 2026","Login > Login to specific user","e2e/login.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","794","Incorrect username","Chromium","Tue Mar 17 17:56:56 UTC 2026","passed","Tue Mar 17 17:56:57 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"","4549","Open ""LinkedIn"" page","Chromium","Tue Mar 17 17:55:54 UTC 2026","passed","Tue Mar 17 17:55:59 UTC 2026","Footer > Open the footer links","e2e/footer.spec.ts","",""
"","3346","Checkout process with Cancel","Chromium","Tue Mar 17 17:55:35 UTC 2026","passed","Tue Mar 17 17:55:38 UTC 2026","Checkout > Checkout process","e2e/checkout.spec.ts","",""
"","901","Simple login to page - Run 5","Chromium","Tue Mar 17 17:56:58 UTC 2026","passed","Tue Mar 17 17:56:59 UTC 2026","Load tests","performance/load.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","789","Incorrect credentials","Chromium","Tue Mar 17 17:56:56 UTC 2026","passed","Tue Mar 17 17:56:56 UTC 2026","Login > Login with error status","e2e/login.spec.ts","",""
"","3570","Checkout process with Success","Chromium","Tue Mar 17 17:55:35 UTC 2026","passed","Tue Mar 17 17:55:39 UTC 2026","Checkout > Checkout process","e2e/checkout.spec.ts","",""
"","3043","Adding by Title - one","Chromium","Tue Mar 17 17:56:14 UTC 2026","passed","Tue Mar 17 17:56:17 UTC 2026","Inventory > Add products - different methods","e2e/inventory.spec.ts","",""
"","3155","Empty Last Name field","Chromium","Tue Mar 17 17:55:29 UTC 2026","passed","Tue Mar 17 17:55:32 UTC 2026","Checkout > Empty fields - error validation","e2e/checkout.spec.ts","",""
"This test attempts to log into the website using a login and a password. Fails if any error happens.

Note that this test does not test 2-Factor Authentication.","932","Error user","Chromium","Tue Mar 17 17:56:53 UTC 2026","passed","Tue Mar 17 17:56:54 UTC 2026","Login > Login to specific user","e2e/login.spec.ts","",""
"","3106","Inventory - product describe","Chromium","Tue Mar 17 17:54:54 UTC 2026","passed","Tue Mar 17 17:54:57 UTC 2026","Accessability tests > Gunning fog index","accessibility/accessibility.spec.ts","",""
"","3091","Visual effect for inventory","Chromium","Tue Mar 17 17:57:02 UTC 2026","passed","Tue Mar 17 17:57:06 UTC 2026","Pages with errors","ui/ui.spec.ts","",""
"","6354","ARIA for Cart page","Chromium","Tue Mar 17 17:55:13 UTC 2026","failed","Tue Mar 17 17:55:19 UTC 2026","ARIA Snapshots","accessibility/aria.spec.ts","",""
